my_rating	english_title	japanese_title	mal_url
2	Death Note	Death Note	https://myanimelist.net/anime/1535/Death_Note
1	Fullmetal Alchemist: Brotherhood	Fullmetal Alchemist: Brotherhood	https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
1	Food Wars	Shokugeki no Souma	https://myanimelist.net/anime/28171/Shokugeki_no_Souma
2	Fate/stay night: Unlimited Blade Works	Fate/stay night: Unlimited Blade Works	https://myanimelist.net/anime/22297/Fate_stay_night__Unlimited_Blade_Works
2	Your Lie in April	Shigatsu wa Kimi no Uso	https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
1	Miss Kobayashi's Dragon Made	Kobayashi-san Chi no Maid Dragon	https://myanimelist.net/anime/33206/Kobayashi-san_Chi_no_Maid_Dragon
1	My Hero Academia	Boku no Hero Academia	https://myanimelist.net/anime/31964/Boku_no_Hero_Academia
2	Gurren Lagann	Tengen Toppa Gurren Lagann	https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
3	Erased	Boku dake ga Inai Machi	https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi
3	Beyond the Boundary	Kyoukai no Kanata	https://myanimelist.net/anime/18153/Kyoukai_no_Kanata
2	New Game!	New Game!	https://myanimelist.net/anime/31953/New_Game
1	No Game No Life	No Game No Life	https://myanimelist.net/anime/19815/No_Game_No_Life
1	Land of the Lustrous	Houseki no Kuni	https://myanimelist.net/anime/35557/Houseki_no_Kuni_TV
3	Kiznaiver	Kiznaiver	https://myanimelist.net/anime/31798/Kiznaiver
1	The Seven Deadly Sins	Nanatsu no Taizai	https://myanimelist.net/anime/23755/Nanatsu_no_Taizai
2	The Ancient Magus' Bride	Mahoutsukai no Yome	https://myanimelist.net/anime/35062/Mahoutsukai_no_Yome
2	Kill la Kill	Kill la Kill	https://myanimelist.net/anime/18679/Kill_la_Kill
1	Attack on Titan	Shingeki no Kyojin	https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
2	Akame ga Kill!	Akame ga Kill!	https://myanimelist.net/anime/22199/Akame_ga_Kill
